									Percentile	Global Written	Global Read	Temp Written	Temp Read
									20	43	28	0	0
									50	"26,434"	"12,310"	"3,621"	"5,270"
									90	"5,189,312"	"3,664,867"	"2,335,200"	"3,109,876"
									99	"109,872,552"	"104,301,900"	"48,835,649"	"57,291,349"
									99.9	"723,635,551"	"719,054,918"	"272,325,283"	"355,459,219"
									99.99	"2,870,992,194"	"2,870,710,332"	"2,095,380,984"	"2,121,207,419"
													
													
									Max	"4,744,884,684"	"4,743,848,299"	" 2,876,545,372 "	" 2,578,337,402 "
													
													
													
													
													
													
VC	Job	Total Read	Total Temp Read	Total Global Read	Total Written	Total Temp Written	Total Global Written						
adcenter.bicore	2014-02-12_all	3316667.611	146842.1321	3169825.479	3316667.611	146842.1321	3169825.479						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-12-22_Job	0	0	0	0	0	0						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-12-23_Job	5.00E-06	0	5.00E-06	5.00E-06	0	5.00E-06						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-13-00_Job	5.00E-06	0	5.00E-06	5.00E-06	0	5.00E-06						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-13-01_Job	5.00E-06	0	5.00E-06	5.00E-06	0	5.00E-06						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-13-02_Job	5.00E-06	0	5.00E-06	5.00E-06	0	5.00E-06						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-13-03_Job	0.003547	0.001772	0.001775	0.003547	0.001772	0.001775						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-13-04_Job	5.00E-06	0	5.00E-06	5.00E-06	0	5.00E-06						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-13-05_Job	5.00E-06	0	5.00E-06	5.00E-06	0	5.00E-06						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-13-06_Job	5.00E-06	0	5.00E-06	5.00E-06	0	5.00E-06						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-13-07_Job	5.00E-06	0	5.00E-06	5.00E-06	0	5.00E-06						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-13-08_Job	0.002795	0.001396	0.001399	0.002795	0.001396	0.001399						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-13-09_Job	5.00E-06	0	5.00E-06	5.00E-06	0	5.00E-06						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-13-10_Job	5.00E-06	0	5.00E-06	5.00E-06	0	5.00E-06						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-13-11_Job	0.030189	0.025983	0.004206	0.030189	0.014393	0.015796						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-13-12_Job	5.00E-06	0	5.00E-06	5.00E-06	0	5.00E-06						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-13-13_Job	5.00E-06	0	5.00E-06	5.00E-06	0	5.00E-06						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-13-14_Job	5.00E-06	0	5.00E-06	5.00E-06	0	5.00E-06						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-13-15_Job	5.00E-06	0	5.00E-06	5.00E-06	0	5.00E-06						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-13-16_Job	5.00E-06	0	5.00E-06	5.00E-06	0	5.00E-06						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-13-17_Job	5.00E-06	0	5.00E-06	5.00E-06	0	5.00E-06						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-13-18_Job	5.00E-06	0	5.00E-06	5.00E-06	0	5.00E-06						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-13-19_Job	5.00E-06	0	5.00E-06	5.00E-06	0	5.00E-06						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-13-20_Job	1.00E-05	0	1.00E-05	1.00E-05	0	1.00E-05						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-13-21_Job	5.00E-06	0	5.00E-06	5.00E-06	0	5.00E-06						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-13-22_Job	5.00E-06	0	5.00E-06	5.00E-06	0	5.00E-06						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-13-23_Job	5.00E-06	0	5.00E-06	5.00E-06	0	5.00E-06						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-14-00_Job	5.00E-06	0	5.00E-06	5.00E-06	0	5.00E-06						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-14-01_Job	5.00E-06	0	5.00E-06	5.00E-06	0	5.00E-06						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-14-02_Job	5.00E-06	0	5.00E-06	5.00E-06	0	5.00E-06						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-14-03_Job	0.003549	0.001773	0.001776	0.003549	0.001773	0.001776						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-14-04_Job	5.00E-06	0	5.00E-06	5.00E-06	0	5.00E-06						
adcenter.bicore	3PS_PubPayout_Agg-2014-02-14-05_Job	5.00E-06	0	5.00E-06	5.00E-06	0	5.00E-06						
